X_mm,Y_mm,Z_mm,alpha_rad,beta_rad,gamma_rad,ferrule_X_mm,ferrule_Y_mm,ferrule_Z_mm
69.75178,-676.30817,-22.0771,2.006061,0.25166243,3.0993147,67.17368212509864,-672.5682575585074,-4.659681526603958
70.34034,-676.6027,-22.30013,2.005695,0.25292268,3.1001058,67.7672046098728,-672.8358109101641,-4.8877918213133
70.78116,-676.8614,-22.463287,2.005259,0.254036,3.1011305,68.21814564937647,-673.0678779160376,-5.055238641927605
71.12285,-677.08295,-22.599304,2.0047414,0.2550475,3.1022873,68.5731864077204,-673.2631897639815,-5.195033049870091
71.39387,-677.2761,-22.725826,2.0041442,0.25600046,3.1035304,68.85972470282269,-673.4301794766552,-5.325050070722895
71.61057,-677.44763,-22.851086,2.0034866,0.25691578,3.1048393,69.09355665532946,-673.5755106675947,-5.453634011321778
71.78416,-677.6013,-22.97844,2.0027971,0.25780368,3.1061997,69.28547908520272,-673.7029693660659,-5.584199230292395
71.92337,-677.73987,-23.108925,2.0021005,0.25867134,3.1075995,69.44387828344524,-673.8153608977699,-5.717825289686985
72.035324,-677.8658,-23.242546,2.0014143,0.25952446,3.1090267,69.57557309739346,-673.9151926322232,-5.854552242156814
72.12581,-677.98126,-23.37889,2.0007489,0.26036713,3.1104724,69.68613482835909,-674.0046642009798,-5.993992217496519
72.199524,-678.0882,-23.517437,2.0001101,0.26120207,3.1119287,69.78008622237459,-674.0857566700266,-6.1356428397140625
72.2603,-678.18835,-23.657696,1.9995003,0.26203093,3.1133895,69.86113808638308,-674.1602251603392,-6.2790242329069414
72.31126,-678.2831,-23.799255,1.9989201,0.2628546,3.1148503,69.93232776457263,-674.2294797873403,-6.4237307031402935
72.35498,-678.37354,-23.941803,1.9983695,0.2636735,3.1163073,69.99616372308455,-674.2946310511614,-6.569454639492044
72.39355,-678.46063,-24.085106,1.9978483,0.2644878,3.117758,70.05469221157962,-674.3566528947174,-6.71596335665512
72.42865,-678.5452,-24.228992,1.9973565,0.26529735,3.1192002,70.1095558417739,-674.4163924074164,-6.86308430277019
72.46165,-678.62787,-24.37334,1.9968939,0.26610196,3.1206324,70.16209975447772,-674.4744814796991,-7.010695257111589
72.49361,-678.7091,-24.518055,1.9964609,0.26690122,3.1220534,70.21336307810955,-674.5313945535593,-7.158698699203942
72.52538,-678.78925,-24.66306,1.9960575,0.2676947,3.1234622,70.26417999509559,-674.5875039173283,-7.307014816993213
72.55762,-678.8687,-24.808283,1.9956844,0.26848197,3.1248584,70.31520155501552,-674.6431989150611,-7.45556851209426
72.59079,-678.9478,-24.953651,1.995342,0.26926246,3.1262412,70.36687449314638,-674.698843389771,-7.604283070799614
72.625244,-679.0267,-25.099094,1.9950309,0.27003554,3.127611,70.41955874802217,-674.754593578814,-7.753084104486032
72.66123,-679.10565,-25.244526,1.9947516,0.27080056,3.1289666,70.4734826114307,-674.8107177593167,-7.901881495434157
72.69888,-679.18494,-25.389866,1.9945048,0.27155694,3.1303089,70.52879139201906,-674.8675078423768,-8.050589919441375
72.73827,-679.26465,-25.535013,1.9942911,0.27230394,3.1316373,70.5855513882936,-674.9250592346837,-8.199103604517038
72.779396,-679.34503,-25.679867,1.994111,0.27304092,3.132952,70.64376172112044,-674.9836295751717,-8.347318065663135
72.82221,-679.4263,-25.824314,1.9939649,0.27376717,3.1342535,70.70338338010822,-675.0434451785662,-8.495114440612578
72.86663,-679.50854,-25.968235,1.9938537,0.274482,3.1355417,70.76433119940549,-675.1045975679571,-8.64236905314846
72.91253,-679.59204,-26.11151,1.9937778,0.27518475,3.1368167,70.82648127663289,-675.167385239256,-8.788957330951384
72.95975,-679.67694,-26.254005,1.9937375,0.27587467,3.1380794,70.8896899531552,-675.2319519909156,-8.934740206090488
73.008125,-679.7634,-26.395586,1.9937333,0.27655116,3.1393294,70.95378533351436,-675.2984693150744,-9.079579459417005
73.05747,-679.8517,-26.536118,1.9937656,0.2772134,3.1405678,71.01860218130159,-675.3672208752448,-9.223334717191012
73.10759,-679.94183,-26.67546,1.993835,0.27786085,-3.141391,71.08393956380944,-675.4382066354149,-9.36586105889021
73.15827,-680.0341,-26.813475,1.9939417,0.27849287,-3.1401756,71.14959680457196,-675.5117393579349,-9.507017066122565
73.20931,-680.1287,-26.950016,1.9940858,0.27910873,-3.1389706,71.21538810798319,-675.5880136311742,-9.646650928763236
73.2605,-680.2258,-27.08495,1.994268,0.27970788,-3.1377761,71.2811004961034,-675.6672083732269,-9.784625726036584
73.31162,-680.3255,-27.218136,1.9944881,0.2802897,-3.1365914,71.34652878289565,-675.7494259174484,-9.920796247903468
73.36248,-680.428,-27.349442,1.9947467,0.28085366,-3.135416,71.41149029452714,-675.8348702514595,-10.055026766109862
73.41288,-680.53345,-27.478735,1.9950438,0.2813991,-3.1342494,71.47579610501604,-675.923696237208,-10.187179944707307
73.46263,-680.642,-27.605892,1.9953796,0.28192562,-3.1330912,71.53926297130359,-676.0160557785358,-10.317129773257893
73.51156,-680.75385,-27.730797,1.9957541,0.2824326,-3.1319408,71.6017335167824,-676.1121523929045,-10.444756211887636
73.5595,-680.869,-27.853333,1.9961674,0.28291962,-3.1307979,71.6630436522497,-676.2119888606156,-10.569939219589642
73.6063,-680.9878,-27.973402,1.9966197,0.28338614,-3.1296618,71.72305634144443,-676.3159170920329,-10.692577268038978
73.65182,-681.11017,-28.090904,1.997111,0.28383186,-3.1285322,71.78163729868643,-676.423857791577,-10.812568010996518
73.69594,-681.23627,-28.20575,1.9976412,0.2842563,-3.1274085,71.83867902241116,-676.5359720997802,-10.929819306971762
73.738556,-681.3663,-28.317867,1.9982104,0.28465912,-3.1262903,71.89408489576017,-676.6524608039274,-11.044255727912347
73.77957,-681.5002,-28.427181,1.9988185,0.28504,-3.1251771,71.9477668438405,-676.7732632642063,-11.155801023492955
73.818924,-681.6382,-28.53363,1.9994655,0.28539854,-3.1240687,71.99967207875221,-676.898612497769,-11.264390504419076
73.85655,-681.7802,-28.637173,2.0001514,0.28573456,-3.1229646,72.04974126208499,-677.0284058406585,-11.36998172718896
73.892426,-681.92645,-28.737762,2.0008757,0.2860478,-3.1218646,72.09795919160905,-677.1628932018159,-11.472524801975261
73.92652,-682.0769,-28.835365,2.001639,0.286338,-3.1207678,72.1443070178995,-677.3020212751868,-11.571986128824214
73.95883,-682.23157,-28.929966,2.0024407,0.28660503,-3.1196742,72.18878601069527,-677.445809217875,-11.668348520395142
73.98939,-682.39056,-29.021545,2.0032806,0.2868487,-3.1185837,72.23143372185477,-677.5943571142034,-11.761590550395972
74.018196,-682.55383,-29.110107,2.0041592,0.28706893,-3.1174958,72.2722522057732,-677.7476215716263,-11.851716553309142
74.04532,-682.72144,-29.195646,2.0050757,0.28726563,-3.11641,72.31132591984628,-677.9056570551738,-11.93871987863318
74.070816,-682.8933,-29.278183,2.0060303,0.2874387,-3.1153264,72.34870686434492,-678.0683744011187,-12.022620618838548
74.09475,-683.0695,-29.357729,2.007023,0.28758815,-3.1142447,72.38446584411258,-678.2358593814189,-12.103429637912786
74.11722,-683.25,-29.434313,2.0080535,0.287714,-3.1131647,72.41870549207003,-678.4080678343661,-12.181175854258907
74.13832,-683.4347,-29.507969,2.009122,0.28781626,-3.112086,72.45152545504695,-678.5848950985885,-12.255893281949106
74.158165,-683.62366,-29.578733,2.0102277,0.28789502,-3.111009,72.48303764371349,-678.7663995638961,-12.327617981077857
74.176865,-683.8168,-29.64665,2.0113711,0.28795034,-3.1099327,72.51336586069267,-678.9524917692493,-12.396395623621242
74.19456,-684.014,-29.711765,2.012552,0.2879824,-3.1088579,72.54263707154524,-679.1430527152438,-12.46227158171168
74.211365,-684.2152,-29.774132,2.0137703,0.28799132,-3.1077838,72.570979422587,-679.3380124673077,-12.525300824283583
74.22745,-684.4205,-29.833807,2.0150259,0.28797725,-3.106711,72.59855304411246,-679.5374711752687,-12.585539718793349
74.24295,-684.62964,-29.890844,2.0163186,0.2879404,-3.1056387,72.6255060381627,-679.7411573117678,-12.643043791359776
74.25801,-684.8426,-29.945309,2.0176485,0.28788102,-3.1045675,72.6519719589496,-679.9490498094059,-12.697879964261485
74.2728,-685.05927,-29.997261,2.0190153,0.28779936,-3.1034973,72.67812280375891,-680.1610316651035,-12.750108601579598
74.28746,-685.2796,-30.046768,2.0204194,0.28769568,-3.1024277,72.70410200835491,-680.377044545874,-12.799799353611327
74.302155,-685.5035,-30.093891,2.0218606,0.2875703,-3.1013591,72.73006751342098,-680.5969943230729,-12.847014674797702
74.31706,-685.7308,-30.138702,2.0233388,0.28742346,-3.1002913,72.75619719706016,-680.8207037029405,-12.891828032118138
74.33231,-685.96136,-30.181263,2.024854,0.2872556,-3.0992246,72.78261885057334,-681.0480262839914,-12.934303582858632
74.34808,-686.1952,-30.221642,2.0264063,0.28706697,-3.0981586,72.80951263079027,-681.2789733956321,-12.974511037868695
74.36452,-686.4321,-30.259909,2.0279958,0.28685802,-3.097094,72.83701434177881,-681.5133217453607,-13.012522329962422
74.38177,-686.67206,-30.296127,2.0296223,0.2866291,-3.0960305,72.86526830623563,-681.7510614424343,-13.048402633891694
74.39999,-686.9148,-30.330364,2.031286,0.28638062,-3.0949678,72.89443643865764,-681.9919022629986,-13.082222466925916
74.41932,-687.1603,-30.362679,2.0329869,0.28611296,-3.0939069,72.92464081555582,-682.2358242639046,-13.114042159362505
74.43991,-687.4084,-30.393139,2.0347252,0.28582662,-3.092847,72.95604081389406,-682.4826519672134,-13.143932103564907
74.46188,-687.65894,-30.421808,2.036501,0.28552195,-3.0917888,72.98874316923562,-682.7322237660983,-13.17195770996981
74.48537,-687.91187,-30.448746,2.038314,0.2851994,-3.090732,73.02289203160349,-682.9844781309143,-13.198181732115234
74.5105,-688.16705,-30.47401,2.0401652,0.2848595,-3.0896769,73.05859482427874,-683.2392689278614,-13.222663818736734
74.53738,-688.4243,-30.497662,2.042054,0.2845027,-3.0886235,73.09596233429733,-683.4964065810785,-13.24546847092228
74.56613,-688.68353,-30.51975,2.0439806,0.2841294,-3.0875719,73.13511019095095,-683.7557942676603,-13.266645848620964
74.596855,-688.94464,-30.540337,2.0459454,0.28374016,-3.086522,73.17614000899914,-684.0173214194317,-13.286262103908594
74.62964,-689.20746,-30.559467,2.0479484,0.28333536,-3.0854745,73.21912390415201,-684.2808160666572,-13.304362714675896
74.66459,-689.47186,-30.577196,2.04999,0.28291553,-3.0844288,73.26417177659121,-684.5461341601252,-13.321007146434038
74.70177,-689.7378,-30.59357,2.0520701,0.28248113,-3.0833852,73.31134203860111,-684.8132292263565,-13.336243649155954
74.741264,-690.00507,-30.608639,2.0541892,0.28203267,-3.0823438,73.36071196330798,-685.0818833036379,-13.350124903278108
74.78314,-690.2736,-30.62244,2.0563471,0.28157058,-3.0813048,73.41234529852754,-685.3520195276426,-13.362690073059404
74.82747,-690.5433,-30.635021,2.0585446,0.2810954,-3.080268,73.46631038721782,-685.6235375183722,-13.373990276636512
74.87428,-690.81396,-30.64642,2.060782,0.28060752,-3.0792334,73.52263001212805,-685.8962201224793,-13.384065675999786
74.92364,-691.0856,-30.656681,2.0630589,0.28010744,-3.0782013,73.58136869517062,-686.1700800538401,-13.392962646089778
74.97557,-691.35803,-30.665836,2.0653758,0.27959564,-3.0771716,73.64254307178958,-686.4449183226558,-13.400715877203009
75.03012,-691.6312,-30.673923,2.0677333,0.27907255,-3.0761445,73.7061948815602,-686.7206793198761,-13.40736547017259
75.0873,-691.90497,-30.680977,2.0701315,0.2785386,-3.0751195,73.77233946028929,-686.9972110015727,-13.412949307401185
75.14713,-692.1793,-30.687029,2.0725708,0.27799428,-3.0740972,73.84098261213073,-687.2744699530921,-13.417500308917802
75.20964,-692.45404,-30.692108,2.0750513,0.27743998,-3.0730772,73.91215834243164,-687.5522956136039,-13.42105003244317
75.274796,-692.7291,-30.696245,2.0775735,0.2768761,-3.0720596,73.98582662197828,-687.8305919726362,-13.42363150208445
75.34263,-693.0045,-30.699467,2.0801375,0.27630305,-3.0710444,74.06201686206028,-688.1093715476367,-13.425273895087724
75.41312,-693.28,-30.701797,2.0827441,0.27572125,-3.0700316,74.14070093013291,-688.3883876342252,-13.426002425693511
