X_mm,Y_mm,Z_mm,alpha_rad,beta_rad,gamma_rad,ferrule_X_mm,ferrule_Y_mm,ferrule_Z_mm
82.095634,-668.0537,-24.69207,1.9706168,0.23195519,3.096497,79.73915078903372,-664.5619276208419,-7.191941071086884
82.93561,-668.0364,-24.911304,1.9663935,0.23427446,3.095313,80.55869967453533,-664.5056768440672,-7.421755941206133
83.53024,-668.0748,-25.03936,1.9619148,0.23663457,3.0944288,81.13880391449682,-664.5015393396735,-7.560434355032108
83.940704,-668.1489,-25.114042,1.9572132,0.23899545,3.093771,81.53964206885081,-664.5308038156126,-7.645662521545031
84.21247,-668.24927,-25.157358,1.9523625,0.24135031,3.0932956,81.80577708311493,-664.5846773556501,-7.69944890541505
84.37864,-668.3699,-25.181938,1.947432,0.24369894,3.0929713,81.96957178235878,-664.6575764756489,-7.7344440718365775
84.463684,-668.5057,-25.195082,1.9424757,0.24604261,3.0927715,82.05486678180873,-664.7447384652429,-7.757973066939378
84.486115,-668.6526,-25.20104,1.937531,0.24838372,3.0926735,82.07965358086668,-664.842328742986,-7.77431407726295
84.460205,-668.8071,-25.202274,1.9326223,0.25072506,3.092657,82.05776095825273,-664.9470217899359,-7.78595811981279
84.39705,-668.96674,-25.200197,1.9277636,0.25306925,3.092706,81.99994872997019,-665.0564747676553,-7.794343636434679
84.30535,-669.1291,-25.195599,1.9229624,0.2554183,3.092806,81.91463110600613,-665.1683637555325,-7.80028263117066
84.19196,-669.29254,-25.188915,1.9182222,0.2577734,3.092947,81.80847105130859,-665.2811149740488,-7.804224905188455
84.06231,-669.4555,-25.180378,1.9135447,0.2601353,3.09312,81.68673153770277,-665.393227703458,-7.806415563117142
83.92071,-669.6168,-25.170103,1.9089303,0.26250404,3.0933182,81.5536007884605,-665.5035730340983,-7.806976613671299
83.77057,-669.77545,-25.158148,1.9043795,0.26487938,3.0935364,81.41239427386905,-665.6112047965852,-7.805970351920109
83.61461,-669.93054,-25.14454,1.8998924,0.26726076,3.09377,81.26575023522739,-665.7152557421862,-7.803425951840946
83.45496,-670.0815,-25.129292,1.89547,0.26964727,3.094016,81.11574137273547,-665.8151954311888,-7.7993554294294185
83.29332,-670.22754,-25.112411,1.8911127,0.27203792,3.0942721,80.96402443995571,-665.9102681930543,-7.79376364118729
83.13098,-670.3683,-25.093899,1.8868217,0.27443168,3.0945358,80.81183884013664,-666.0001512482268,-7.786650207571739
82.96897,-670.50323,-25.073757,1.882598,0.27682728,3.0948055,80.66018063952025,-666.0843292877576,-7.778011621893899
82.808044,-670.632,-25.051994,1.8784428,0.27922344,3.0950797,80.50977002462122,-666.1625064916909,-7.767852004711958
82.64879,-670.75433,-25.028614,1.8743572,0.28161886,3.0953577,80.36117465776303,-666.2344321226099,-7.7561694936793515
82.49161,-670.8699,-25.00362,1.8703426,0.28401235,3.0956383,80.21476507702572,-666.299816764082,-7.742961947263193
82.33681,-670.97833,-24.977022,1.8664,0.28640252,3.0959208,80.07082655319634,-666.358310200713,-7.728232591087615
82.18457,-671.07965,-24.94883,1.8625305,0.28878817,3.0962045,79.92951635520103,-666.4099690061217,-7.711985379406276
82.035,-671.17346,-24.919048,1.858735,0.2911681,3.0964892,79.79093074583305,-666.4544163319622,-7.694217665809326
81.88817,-671.2597,-24.887695,1.8550143,0.29354107,3.0967739,79.65511246631826,-666.4916198117553,-7.674942013631544
81.74406,-671.33826,-24.854782,1.8513694,0.29590613,3.0970588,79.52203210274577,-666.5214861214504,-7.654163364998926
81.602646,-671.4089,-24.820318,1.8478007,0.2982621,3.097343,79.39164096575787,-666.543799993266,-7.63188413699104
81.46387,-671.4715,-24.784327,1.8443089,0.30060804,3.0976267,79.26387243003974,-666.558456946221,-7.6081219871374905
81.32765,-671.52606,-24.746822,1.8408941,0.3029431,3.0979092,79.13862266806052,-666.5654741565157,-7.582884589561651
81.19391,-671.5724,-24.707827,1.8375566,0.30526647,3.0981908,79.01580981804686,-666.5646833609934,-7.556189945164917
81.06255,-671.61053,-24.66736,1.8342965,0.30757734,3.0984707,78.89530991343491,-666.5561112436851,-7.528050753621439
80.93348,-671.64026,-24.62545,1.8311137,0.30987507,3.098749,78.77702473811482,-666.5395766173154,-7.498490849786183
80.80661,-671.6616,-24.582123,1.8280079,0.31215915,3.0990252,78.66084617842368,-666.5150985510847,-7.467532135526287
80.681854,-671.67456,-24.537403,1.8249788,0.31442901,3.0992997,78.54668606590522,-666.4826926719674,-7.4351934485613285
80.55915,-671.679,-24.491325,1.822026,0.31668425,3.099572,78.43446453008596,-666.4422258424286,-7.401506157293419
80.438416,-671.67487,-24.44392,1.8191489,0.31892452,3.0998416,78.32408267562397,-666.3936535299455,-7.366497852911834
80.31961,-671.6622,-24.395222,1.8163466,0.32114953,3.1001086,78.21549356820223,-666.3370066909314,-7.330198992031633
80.2027,-671.64087,-24.34527,1.8136185,0.32335916,3.1003728,78.10865302366555,-666.2721654712115,-7.292646185951035
80.08765,-671.61096,-24.2941,1.8109636,0.3255532,3.1006339,78.00351388853788,-666.1992110678909,-7.253872590580947
79.97446,-671.5723,-24.241753,1.8083808,0.3277316,3.1008918,77.90006868735738,-666.1179708785727,-7.213917127018892
79.86312,-671.5251,-24.18827,1.8058691,0.32989436,3.1011462,77.79829605206301,-666.0286525585086,-7.172819151228801
79.75367,-671.4691,-24.133694,1.8034273,0.33204162,3.1013968,77.69822549474938,-665.9309909974296,-7.130620849493251
79.64613,-671.4045,-24.078072,1.8010541,0.3341734,3.1016433,77.59986792498532,-665.8251828430259,-7.087367730245557
79.54057,-671.3311,-24.021446,1.7987483,0.3362899,3.1018858,77.50329035124696,-665.7110202380791,-7.043101112985145
79.43704,-671.2491,-23.963867,1.7965082,0.3383914,3.1021237,77.40853046202434,-665.5886960199097,-6.997872309545819
79.335625,-671.1583,-23.90538,1.7943329,0.3404781,3.1023567,77.31566237720364,-665.4580046657251,-6.951725995492627
79.23641,-671.05896,-23.846037,1.7922206,0.34255025,3.1025844,77.22476375572683,-665.3191984246725,-6.904714252165444
79.13951,-670.95087,-23.785887,1.79017,0.3446083,3.1028068,77.13594607976327,-665.172055597527,-6.8568871559662234
79.04503,-670.8341,-23.72498,1.7881794,0.3466526,3.1030235,77.04930692137076,-665.0166370429257,-6.808295509932371
