X_mm,Y_mm,Z_mm,alpha_rad,beta_rad,gamma_rad,ferrule_X_mm,ferrule_Y_mm,ferrule_Z_mm
64.76718,-666.35767,-22.37577,2.0102055,0.2546594,3.101326,62.18398312382406,-662.5655236101452,-4.970405319625552
65.2825,-666.442,-22.439337,2.0096428,0.25742567,3.101977,62.69153547618743,-662.5997480474003,-5.046119851666312
65.75838,-666.5074,-22.432676,2.00921,0.26004797,3.1027954,63.16298837735713,-662.6163615700318,-5.0509683088200035
66.20786,-666.54675,-22.38191,2.008751,0.26256144,3.1037061,63.61049852638093,-662.6078743355174,-5.011274666912559
66.63961,-666.5594,-22.304176,2.008201,0.26500365,3.1046677,64.04204783682778,-662.5731999433503,-4.94436955186174
67.058975,-666.5477,-22.210014,2.0075417,0.2674024,3.1056573,64.46249061211333,-662.5143824910092,-4.860932793920835
67.46924,-666.51495,-22.105734,2.0067756,0.26977584,3.1066632,64.87479298877513,-662.4345351254279,-4.76736443543836
67.87241,-666.46436,-21.995071,2.0059106,0.27213502,3.1076772,65.28072774533508,-662.3367796184854,-4.667455373925254
68.269745,-666.3989,-21.880226,2.004955,0.27448678,3.1086948,65.68141076064187,-662.2240362562401,-4.5634411198207445
68.662,-666.3212,-21.762503,2.0039158,0.27683505,3.1097121,66.0774880782809,-662.0989229395357,-4.456646345353601
69.04968,-666.2334,-21.64267,2.0027966,0.27918202,3.1107266,66.46940449168234,-661.9635751735676,-4.347850710607055
69.433136,-666.1372,-21.521189,2.0016003,0.28152865,3.111736,66.85746536570915,-661.8197043169132,-4.237521802030159
69.812645,-666.0342,-21.398346,2.0003278,0.2838752,3.1127393,67.24193646160761,-661.6689175107085,-4.125947023618014
70.18847,-665.9255,-21.274326,1.9989804,0.2862213,3.1137345,67.62305579467076,-661.5123403905261,-4.013310032902261
70.560875,-665.812,-21.149261,1.9975586,0.28856626,3.1147213,68.00109559616476,-661.3508885407788,-3.8997388630796372
70.930115,-665.6944,-21.023252,1.9960631,0.2909093,3.1156983,68.37630067157315,-661.1852878000583,-3.785330444770139
71.296486,-665.5733,-20.89639,1.9944946,0.29324916,3.1166651,68.74897626092807,-661.0161639261838,-3.6701685648141407
71.66025,-665.44904,-20.768753,1.992854,0.2955848,3.1176207,69.11938098027389,-660.8438842295385,-3.5543251862624423
72.02168,-665.322,-20.64042,1.9911425,0.29791474,3.1185646,69.48779393203313,-660.6688598895574,-3.437870523042996
72.381065,-665.1924,-20.51147,1.9893615,0.3002377,3.1194959,69.85450082578275,-660.4913423953961,-3.32087574407743
72.73864,-665.06036,-20.381975,1.9875127,0.3025521,3.120414,70.21973840330796,-660.3114864012244,-3.2034030486114027
73.09466,-664.9261,-20.25201,1.9855976,0.30485648,3.121318,70.58375795891445,-660.129546319679,-3.0855181122591944
73.44933,-664.7896,-20.121655,1.9836184,0.30714914,3.1222074,70.94676499431617,-659.9455390568626,-2.9672899003672555
73.80287,-664.651,-19.990978,1.9815773,0.30942857,3.1230812,71.3089696932175,-659.759642099649,-2.848776299211835
74.15546,-664.5104,-19.860062,1.9794763,0.31169295,3.123939,71.67055441556276,-659.5719928086639,-2.730048028931783
74.50723,-664.3677,-19.728973,1.9773184,0.31394064,3.12478,72.03163793135779,-659.3825310079541,-2.6111596457651807
74.85834,-664.22296,-19.59779,1.975106,0.31616995,3.125603,72.39236477465305,-659.1913585208835,-2.4921782674916457
75.20886,-664.0763,-19.466585,1.9728421,0.31837904,3.126408,72.7528063516725,-658.9986322337697,-2.373162565264362
75.55889,-663.9277,-19.33543,1.9705296,0.32056618,3.1271942,73.113049636755,-658.8043726624908,-2.2541717937011256
75.90848,-663.7771,-19.204397,1.9681715,0.32272962,3.1279604,73.47312359400019,-658.6085634995537,-2.135264930111088
76.25763,-663.62463,-19.073557,1.9657714,0.3248676,3.1287067,73.83302463367826,-658.4113706779058,-2.0164993387795
