X_mm,Y_mm,Z_mm,alpha_rad,beta_rad,gamma_rad
64.00896,-666.67554,-21.943527,2.089125,0.25440627,-3.14055
64.12409,-666.88055,-21.909468,2.094213,0.25450343,-3.1368978
64.21275,-667.1068,-21.794962,2.0994475,0.254444,-3.1329672
64.28602,-667.3492,-21.628574,2.1047747,0.25426766,-3.1288292
64.352905,-667.604,-21.429224,2.1101687,0.25400504,-3.1245358
64.419464,-667.8697,-21.208952,2.1156206,0.25367585,-3.1201224
64.48941,-668.14667,-20.975338,2.1211302,0.2532919,-3.1156135
64.56498,-668.4364,-20.733114,2.1267016,0.2528603,-3.111025
64.64748,-668.74097,-20.485235,2.13234,0.25238502,-3.1063685
64.737595,-669.0629,-20.233526,2.13805,0.25186813,-3.1016517
64.835625,-669.40466,-19.97912,2.1438355,0.25131026,-3.0968795
64.94162,-669.76855,-19.722702,2.1496997,0.2507113,-3.0920565
65.055466,-670.1566,-19.464691,2.1556447,0.25007066,-3.0871854
65.17694,-670.5707,-19.205334,2.1616716,0.24938756,-3.0822692
65.30574,-671.0121,-18.944769,2.167782,0.2486612,-3.07731
65.44157,-671.482,-18.683073,2.173976,0.24789096,-3.072311
65.58408,-671.98114,-18.420282,2.1802533,0.24707642,-3.0672736
65.73298,-672.51,-18.156414,2.186613,0.24621753,-3.0622013
65.887985,-673.06866,-17.891483,2.193054,0.24531457,-3.0570972
66.04884,-673.65686,-17.625515,2.1995733,0.2443683,-3.0519645
66.215385,-674.2742,-17.358555,2.206168,0.24337982,-3.0468075
66.387474,-674.9198,-17.090675,2.2128336,0.2423508,-3.041631
66.56506,-675.5926,-16.822,2.219565,0.24128339,-3.0364397
66.74817,-676.2913,-16.5527,2.2263553,0.24018013,-3.0312397
66.93689,-677.0143,-16.283005,2.2331972,0.23904411,-3.026038
67.13142,-677.75964,-16.013216,2.2400815,0.23787887,-3.0208411
67.331985,-678.52545,-15.74371,2.2469983,0.23668839,-3.0156577
67.53894,-679.3094,-15.474936,2.2539368,0.23547712,-3.0104954
67.75268,-680.10913,-15.20742,2.2608843,0.23424986,-3.005364
67.97365,-680.92224,-14.941767,2.2678282,0.23301174,-3.0002723
68.202354,-681.746,-14.678638,2.2747548,0.23176825,-2.99523
68.43934,-682.5778,-14.41876,2.28165,0.23052505,-2.9902465
68.68518,-683.4151,-14.162897,2.2884998,0.229288,-2.9853318
68.94045,-684.2551,-13.911838,2.29529,0.22806308,-2.9804947
69.20575,-685.0954,-13.666382,2.3020072,0.22685629,-2.9757438
69.48163,-685.9333,-13.427315,2.3086386,0.22567347,-2.9710875
69.76866,-686.7665,-13.195391,2.3151717,0.22452043,-2.9665325
70.06737,-687.5926,-12.971308,2.3215964,0.2234027,-2.9620855
70.378235,-688.40955,-12.755699,2.3279033,0.22232546,-2.9577513
70.7017,-689.2152,-12.549105,2.3340838,0.22129354,-2.9535344
71.03815,-690.0078,-12.351968,2.340132,0.22031131,-2.9494376
71.3879,-690.78564,-12.164621,2.3460426,0.21938258,-2.9454634
71.75122,-691.54706,-11.987282,2.3518124,0.21851067,-2.9416122
72.12829,-692.2908,-11.820049,2.3574386,0.21769825,-2.9378846
72.5192,-693.01544,-11.662903,2.3629208,0.21694733,-2.9342797
