X_mm,Y_mm,Z_mm,alpha_rad,beta_rad,gamma_rad
64.76718,-666.35767,-22.37577,2.0102055,0.2546594,3.101326
65.2825,-666.442,-22.439337,2.0096428,0.25742567,3.101977
65.75838,-666.5074,-22.432676,2.00921,0.26004797,3.1027954
66.20786,-666.54675,-22.38191,2.008751,0.26256144,3.1037061
66.63961,-666.5594,-22.304176,2.008201,0.26500365,3.1046677
67.058975,-666.5477,-22.210014,2.0075417,0.2674024,3.1056573
67.46924,-666.51495,-22.105734,2.0067756,0.26977584,3.1066632
67.87241,-666.46436,-21.995071,2.0059106,0.27213502,3.1076772
68.269745,-666.3989,-21.880226,2.004955,0.27448678,3.1086948
68.662,-666.3212,-21.762503,2.0039158,0.27683505,3.1097121
69.04968,-666.2334,-21.64267,2.0027966,0.27918202,3.1107266
69.433136,-666.1372,-21.521189,2.0016003,0.28152865,3.111736
69.812645,-666.0342,-21.398346,2.0003278,0.2838752,3.1127393
70.18847,-665.9255,-21.274326,1.9989804,0.2862213,3.1137345
70.560875,-665.812,-21.149261,1.9975586,0.28856626,3.1147213
70.930115,-665.6944,-21.023252,1.9960631,0.2909093,3.1156983
71.296486,-665.5733,-20.89639,1.9944946,0.29324916,3.1166651
71.66025,-665.44904,-20.768753,1.992854,0.2955848,3.1176207
72.02168,-665.322,-20.64042,1.9911425,0.29791474,3.1185646
72.381065,-665.1924,-20.51147,1.9893615,0.3002377,3.1194959
72.73864,-665.06036,-20.381975,1.9875127,0.3025521,3.120414
73.09466,-664.9261,-20.25201,1.9855976,0.30485648,3.121318
73.44933,-664.7896,-20.121655,1.9836184,0.30714914,3.1222074
73.80287,-664.651,-19.990978,1.9815773,0.30942857,3.1230812
74.15546,-664.5104,-19.860062,1.9794763,0.31169295,3.123939
74.50723,-664.3677,-19.728973,1.9773184,0.31394064,3.12478
74.85834,-664.22296,-19.59779,1.975106,0.31616995,3.125603
75.20886,-664.0763,-19.466585,1.9728421,0.31837904,3.126408
75.55889,-663.9277,-19.33543,1.9705296,0.32056618,3.1271942
75.90848,-663.7771,-19.204397,1.9681715,0.32272962,3.1279604
76.25763,-663.62463,-19.073557,1.9657714,0.3248676,3.1287067
76.60636,-663.4704,-18.94298,1.9633324,0.32697842,3.1294322
76.95463,-663.3143,-18.81273,1.9608582,0.32906035,3.1301363
77.302376,-663.15643,-18.682878,1.9583522,0.3311117,3.1308184
77.64952,-662.9968,-18.553486,1.955818,0.3331309,3.131478
77.99596,-662.83563,-18.424614,1.9532596,0.33511627,3.1321151
78.34155,-662.67285,-18.29632,1.9506804,0.33706644,3.1327288
78.68614,-662.50854,-18.168665,1.9480842,0.33897984,3.133319
79.02956,-662.3428,-18.041698,1.9454749,0.34085524,3.1338851
79.37162,-662.1757,-17.915472,1.9428558,0.3426913,3.134427
79.7121,-662.0074,-17.790031,1.940231,0.3444869,3.1349444
80.050766,-661.83795,-17.665424,1.9376038,0.3462409,3.135437
80.38739,-661.6675,-17.541685,1.934978,0.34795234,3.135905
