X_mm,Y_mm,Z_mm,alpha_rad,beta_rad,gamma_rad
82.095634,-668.0537,-24.69207,1.9706168,0.23195519,3.096497
82.93561,-668.0364,-24.911304,1.9663935,0.23427446,3.095313
83.53024,-668.0748,-25.03936,1.9619148,0.23663457,3.0944288
83.940704,-668.1489,-25.114042,1.9572132,0.23899545,3.093771
84.21247,-668.24927,-25.157358,1.9523625,0.24135031,3.0932956
84.37864,-668.3699,-25.181938,1.947432,0.24369894,3.0929713
84.463684,-668.5057,-25.195082,1.9424757,0.24604261,3.0927715
84.486115,-668.6526,-25.20104,1.937531,0.24838372,3.0926735
84.460205,-668.8071,-25.202274,1.9326223,0.25072506,3.092657
84.39705,-668.96674,-25.200197,1.9277636,0.25306925,3.092706
84.30535,-669.1291,-25.195599,1.9229624,0.2554183,3.092806
84.19196,-669.29254,-25.188915,1.9182222,0.2577734,3.092947
84.06231,-669.4555,-25.180378,1.9135447,0.2601353,3.09312
83.92071,-669.6168,-25.170103,1.9089303,0.26250404,3.0933182
83.77057,-669.77545,-25.158148,1.9043795,0.26487938,3.0935364
83.61461,-669.93054,-25.14454,1.8998924,0.26726076,3.09377
83.45496,-670.0815,-25.129292,1.89547,0.26964727,3.094016
83.29332,-670.22754,-25.112411,1.8911127,0.27203792,3.0942721
83.13098,-670.3683,-25.093899,1.8868217,0.27443168,3.0945358
82.96897,-670.50323,-25.073757,1.882598,0.27682728,3.0948055
82.808044,-670.632,-25.051994,1.8784428,0.27922344,3.0950797
82.64879,-670.75433,-25.028614,1.8743572,0.28161886,3.0953577
82.49161,-670.8699,-25.00362,1.8703426,0.28401235,3.0956383
82.33681,-670.97833,-24.977022,1.8664,0.28640252,3.0959208
82.18457,-671.07965,-24.94883,1.8625305,0.28878817,3.0962045
82.035,-671.17346,-24.919048,1.858735,0.2911681,3.0964892
81.88817,-671.2597,-24.887695,1.8550143,0.29354107,3.0967739
81.74406,-671.33826,-24.854782,1.8513694,0.29590613,3.0970588
81.602646,-671.4089,-24.820318,1.8478007,0.2982621,3.097343
81.46387,-671.4715,-24.784327,1.8443089,0.30060804,3.0976267
81.32765,-671.52606,-24.746822,1.8408941,0.3029431,3.0979092
81.19391,-671.5724,-24.707827,1.8375566,0.30526647,3.0981908
81.06255,-671.61053,-24.66736,1.8342965,0.30757734,3.0984707
80.93348,-671.64026,-24.62545,1.8311137,0.30987507,3.098749
80.80661,-671.6616,-24.582123,1.8280079,0.31215915,3.0990252
80.681854,-671.67456,-24.537403,1.8249788,0.31442901,3.0992997
80.55915,-671.679,-24.491325,1.822026,0.31668425,3.099572
80.438416,-671.67487,-24.44392,1.8191489,0.31892452,3.0998416
80.31961,-671.6622,-24.395222,1.8163466,0.32114953,3.1001086
80.2027,-671.64087,-24.34527,1.8136185,0.32335916,3.1003728
80.08765,-671.61096,-24.2941,1.8109636,0.3255532,3.1006339
79.97446,-671.5723,-24.241753,1.8083808,0.3277316,3.1008918
79.86312,-671.5251,-24.18827,1.8058691,0.32989436,3.1011462
79.75367,-671.4691,-24.133694,1.8034273,0.33204162,3.1013968
79.64613,-671.4045,-24.078072,1.8010541,0.3341734,3.1016433
79.54057,-671.3311,-24.021446,1.7987483,0.3362899,3.1018858
79.43704,-671.2491,-23.963867,1.7965082,0.3383914,3.1021237
79.335625,-671.1583,-23.90538,1.7943329,0.3404781,3.1023567
